日期,开盘价,最高价,最低价,收盘价,成交量
19910102,127.61,128.84,127.61,128.84,91.0
19910103,128.84,130.14,128.84,130.14,141.0
19910104,131.27,131.44,130.14,131.44,420.0
19910107,131.99,132.06,131.45,132.06,217.0
19910108,132.62,132.68,132.06,132.68,2926.0
19910109,133.3,133.34,132.68,133.34,5603.0
19910110,133.93,133.97,133.34,133.97,9990.0
19910111,134.61,134.61,134.51,134.6,13327.0
19910114,134.11,135.19,134.11,134.67,12530.0
19910115,134.21,134.74,134.19,134.74,1446.0
19910116,134.19,134.74,134.14,134.24,509.0
19910117,133.67,134.25,133.65,134.25,658.0
19910118,133.7,134.25,133.67,134.24,3004.0
19910121,133.7,134.24,133.66,134.24,2051.0
19910122,133.72,134.24,133.66,133.72,354.0
19910123,133.17,133.72,133.14,133.17,1095.0
19910124,132.61,133.17,132.57,132.61,1857.0
19910125,132.05,132.07,132.03,132.05,3447.0
19910128,131.46,131.55,131.46,131.46,5107.0
19910129,130.95,130.97,130.95,130.95,1387.0
19910130,130.44,130.95,130.41,130.44,527.0
19910131,129.93,130.46,129.93,129.97,510.0
19910201,129.5,129.97,129.45,129.51,345.0
19910204,129.05,129.58,129.05,129.05,553.0
19910205,128.56,128.58,128.53,128.58,8562.0
19910206,129.13,129.15,128.06,129.14,6641.0
19910207,129.74,129.79,129.14,129.79,2133.0
19910208,130.36,130.39,129.79,130.38,1234.0
19910211,130.92,130.97,130.39,130.97,9317.0
19910212,131.54,131.56,130.97,131.35,3774.0
19910213,131.93,131.93,131.35,131.92,1152.0
19910214,132.53,132.53,132.3,132.53,3624.0
19910219,133.12,133.14,133.08,133.13,1748.0
19910220,133.63,133.67,133.13,133.67,876.0
19910221,134.24,134.28,133.67,134.28,3220.0
19910222,134.85,134.87,134.28,134.87,3427.0
19910225,134.37,134.87,134.33,134.4,810.0
19910226,133.9,134.44,133.9,133.93,1094.0
19910227,133.44,133.98,133.44,133.47,214.0
19910228,132.99,133.52,132.98,133.01,2258.0
19910301,132.53,132.53,132.47,132.53,7124.0
19910304,132.09,132.09,131.98,131.99,2518.0
19910305,131.42,131.99,131.41,131.46,982.0
19910306,130.89,130.95,130.89,130.94,719.0
19910307,130.41,130.94,130.41,130.41,568.0
19910308,129.84,130.41,129.84,129.89,933.0
19910311,129.3,129.89,129.3,129.31,514.0
19910312,128.73,129.31,128.73,128.77,957.0
19910313,126.13,128.77,126.13,126.15,498.0
19910314,125.61,126.15,125.61,125.63,326.0
19910315,125.08,125.62,125.08,125.17,790.0
19910318,124.7,125.17,124.69,124.71,1250.0
19910319,124.23,124.71,124.22,124.22,892.0
19910320,123.66,124.21,123.63,123.66,678.0
19910321,123.14,123.66,123.12,123.12,151.0
19910322,122.62,123.12,122.62,122.62,207.0
19910325,122.12,122.62,122.1,122.12,443.0
19910326,121.62,122.14,121.62,121.62,1164.0
19910327,121.12,121.64,121.12,121.12,668.0
19910328,120.65,121.15,120.61,120.61,961.0
19910329,120.16,120.61,120.11,120.19,2185.0
19910401,120.69,120.73,119.68,120.73,11999.0
19910402,121.21,121.29,120.73,121.21,816.0
19910403,121.71,121.71,121.21,121.71,2063.0
19910404,122.2,122.2,121.24,121.72,10517.0
19910405,121.07,121.73,121.03,121.54,11589.0
19910408,121.11,121.11,121.05,121.09,1862.0
19910409,120.6,121.1,120.6,120.62,320.0
19910410,120.15,120.62,120.09,120.16,466.0
19910411,119.64,120.16,119.62,119.64,239.0
19910412,119.2,119.65,119.15,119.21,399.0
19910415,118.73,119.22,118.72,118.77,301.0
19910416,118.36,118.77,118.34,118.34,105.0
19910417,117.92,118.34,117.89,117.9,201.0
19910418,117.45,117.93,117.45,117.45,178.0
19910419,117.08,117.5,117.05,117.08,646.0
19910422,116.63,117.08,116.58,116.63,430.0
19910423,116.21,116.63,116.15,116.19,282.0
19910424,115.7,116.19,115.7,115.79,148.0
19910425,115.38,115.79,115.33,115.36,1495.0
19910426,116.31,116.31,114.52,115.56,13354.0
19910429,114.86,116.29,114.75,114.75,8411.0
19910430,113.89,114.87,113.89,113.94,4850.0
19910502,113.04,113.2,113.03,113.16,1465.0
19910503,112.46,113.17,112.3,112.41,4230.0
19910506,111.65,112.41,111.57,111.61,2764.0
19910507,110.8,110.9,110.8,110.82,1875.0
19910508,110.16,110.82,110.0,110.03,423.0
19910509,109.36,110.12,109.29,109.29,2266.0
19910510,108.61,109.4,108.53,108.53,249.0
19910513,107.88,107.88,107.74,107.84,235.0
19910514,107.21,107.84,107.06,107.19,267.0
19910515,106.56,106.6,106.42,106.57,390.0
19910516,105.83,105.86,105.69,105.77,3108.0
19910517,105.12,106.75,104.96,106.75,20192.0
